=== MAIN PIPELINE BACKTEST — SUMMARY (gemini-2.5-flash-lite) ===
llm_directional_accuracy_pct,48.89
llm_signal_sensitivity_pct,15.57
llm_total_signals,45
llm_buy_signals,45
llm_sell_signals,0
llm_correct_signals,22
llm_correct_profitable,4
llm_avg_net_pnl_thb,-67.95
llm_rejected_by_risk,0
llm_avg_confidence,0.671
final_note,all HOLD
risk_initial_portfolio_thb,1500.0
risk_final_portfolio_thb,1500.0
risk_total_return_pct,0.0
risk_annualized_return_pct,0.0
risk_annualized_reliable,False
risk_annualized_volatility_pct,0.0
risk_mdd_pct,0.0
risk_mdd_peak_timestamp,2026-04-01 19:55:00
risk_mdd_trough_timestamp,2026-04-01 19:55:00
risk_sharpe_ratio,0.0
risk_sortino_ratio,-269.399
risk_candles_total,289
risk_periods_per_year,72576
risk_risk_free_rate_pct,2.0
session_compliance_total_sessions,8
session_compliance_passed_sessions,0
session_compliance_failed_sessions,5
session_compliance_no_data_sessions,3
session_compliance_compliance_pct,0.0
session_compliance_session_fail_flag,True
trade_note,no closed trades
trade_total_trades,0
trade_winning_trades,0
trade_losing_trades,0
trade_win_rate_pct,0.0
trade_profit_factor,0.0
trade_avg_win_thb,0.0
trade_avg_loss_thb,0.0
trade_expectancy_thb,0.0
trade_max_consec_wins,0
trade_max_consec_losses,0
trade_gross_profit_thb,0.0
trade_gross_loss_thb,0.0
trade_net_pnl_thb,0.0
trade_total_cost_thb,0.0
trade_largest_win_thb,0.0
trade_largest_loss_thb,0.0
trade_calmar_ratio,0.0

=== DETAILED SIGNAL LOG ===
timestamp,close_thai,portfolio_total_value,portfolio_cash,portfolio_gold_grams,actual_direction,price_change,net_pnl_thb,news_sentiment,llm_signal,llm_confidence,llm_rationale,llm_correct,llm_profitable,final_signal,final_confidence,final_correct,final_profitable,rejection_reason,position_size_thb,stop_loss,take_profit,iterations_used,from_cache,session_id,can_execute
2026-04-01 20:45:00,73701.0,1500.0,1500.0,0.0,DOWN,-6.0,-129.0,0.0,HOLD,0.5,"RSI is neutral, MACD is bearish. EMA trend is uptrend. No strong bullish signals to initiate a buy.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:50:00,73695.0,1500.0,1500.0,0.0,DOWN,-76.0,-199.0,0.0,BUY,0.75,"RSI 62 is neutral, MACD histogram is negative, but price is above EMA20 in an uptrend. Cash available for purchase.",False,False,HOLD,0.75,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 20:55:00,73619.0,1500.0,1500.0,0.0,DOWN,-110.0,-233.0,0.0,HOLD,0.4,"RSI is neutral (61.35), MACD shows bearish momentum. Trend is up, but no strong bullish signals for entry.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:00:00,73509.0,1500.0,1500.0,0.0,UP,49.0,-74.0,0.0,HOLD,0.5,"MACD histogram is negative, indicating bearish momentum despite the overall uptrend. RSI is neutral.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:05:00,73558.0,1500.0,1500.0,0.0,UP,70.0,-53.0,0.0,HOLD,0.4,"RSI is neutral, MACD histogram is negative and decreasing. Trend is up, but indicators lack bullish conviction for a buy.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:10:00,73628.0,1500.0,1500.0,0.0,DOWN,-116.0,-239.0,0.0,HOLD,0.5,"RSI is neutral (48.11), MACD is bearish. Trend is uptrend, but no strong bullish signals to initiate a buy.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:15:00,73512.0,1500.0,1500.0,0.0,DOWN,-59.0,-182.0,0.0,HOLD,0.4,MACD histogram is bearish (-29.67). RSI is neutral (53.62). Waiting for stronger bullish signals or a confirmed trend continuation.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:20:00,73453.0,1500.0,1500.0,0.0,DOWN,-28.0,-151.0,0.0,HOLD,0.5,"RSI neutral, MACD bearish, trend is uptrend. No clear bullish setup for buy. Holding current position.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:25:00,73425.0,1500.0,1500.0,0.0,UP,40.0,-83.0,0.0,HOLD,0.4,"RSI is neutral (41.45), MACD histogram is negative (-38.96). Trend is up, but no strong bullish signals to buy.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:30:00,73465.0,1500.0,1500.0,0.0,DOWN,-104.0,-227.0,0.0,HOLD,0.5,"Cash available, but MACD is bearish. RSI neutral. Price above EMAs indicates uptrend. Holding for clearer signal.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:35:00,73361.0,1500.0,1500.0,0.0,UP,74.0,-49.0,0.0,HOLD,0.4,"RSI is neutral, MACD is bearish. Trend is uptrend but not enough bullish signals for a buy.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:40:00,73435.0,1500.0,1500.0,0.0,UP,13.0,-110.0,0.0,HOLD,0.4,"RSI is neutral, MACD is bearish, but price is above EMAs. Insufficient bullish signals for a buy.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:45:00,73448.0,1500.0,1500.0,0.0,DOWN,-1.0,-124.0,0.0,HOLD,0.5,"RSI is neutral (43.29), MACD is bearish. Trend is uptrend but indicators lack clear bullish signal. Holding.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:50:00,73447.0,1500.0,1500.0,0.0,DOWN,-14.0,-137.0,0.0,HOLD,0.4,"RSI neutral, MACD bearish. Price above EMAs indicates uptrend, but not strong enough buy signals. Hold.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 21:55:00,73433.0,1500.0,1500.0,0.0,UP,67.0,-56.0,0.0,HOLD,0.5,Neutral RSI(44.23) and bearish MACD hist(-28.10) despite uptrend. No clear bullish signal.,False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:00:00,73500.0,1500.0,1500.0,0.0,FLAT,0.0,-123.0,0.0,HOLD,0.4,"RSI is neutral, MACD bearish, but price is above EMA20 in an uptrend. No strong buy signal.",True,False,HOLD,0.4,True,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:05:00,73500.0,1500.0,1500.0,0.0,UP,20.0,-103.0,0.0,HOLD,0.5,RSI is neutral at 48.98 and MACD is bearish. Trend is uptrend but no strong bullish signals present.,False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:10:00,73520.0,1500.0,1500.0,0.0,UP,26.0,-97.0,0.0,BUY,0.65,"Cash available. RSI neutral, MACD bearish, but price above EMAs in an uptrend. Bullish confluence supports a buy.",True,False,HOLD,0.65,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:15:00,73546.0,1500.0,1500.0,0.0,UP,1.0,-122.0,0.0,HOLD,0.4,RSI is neutral. MACD is bearish. EMA trend is up but no strong bullish signals present for a BUY.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:20:00,73547.0,1500.0,1500.0,0.0,UP,33.0,-90.0,0.0,HOLD,0.5,"Price above EMA20, MACD histogram positive. RSI neutral. No strong bullish signals for BUY.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:25:00,73580.0,1500.0,1500.0,0.0,UP,33.0,-90.0,0.0,HOLD,0.4,"RSI is neutral, MACD shows bullish momentum. Price is above EMA20 indicating uptrend. No strong buy signal.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:30:00,73613.0,1500.0,1500.0,0.0,UP,88.0,-35.0,0.0,HOLD,0.5,RSI is neutral (55.91). MACD histogram shows bullish momentum (9.19). Uptrend confirmed by EMAs. Waiting for stronger bullish signals.,False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:35:00,73701.0,1500.0,1500.0,0.0,DOWN,-74.0,-197.0,0.0,HOLD,0.4,"Price is above EMAs, but RSI is neutral. No strong bullish or bearish signals to justify a trade.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:40:00,73627.0,1500.0,1500.0,0.0,DOWN,-17.0,-140.0,0.0,HOLD,0.5,"RSI is neutral at 64.97, MACD histogram is positive but decreasing. Trend is up, but no strong bullish signals for entry.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:45:00,73610.0,1500.0,1500.0,0.0,DOWN,-37.0,-160.0,0.0,HOLD,0.5,"RSI is neutral, MACD is bullish, and price is in an uptrend. No strong buy signal. Holding for now.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:50:00,73573.0,1500.0,1500.0,0.0,UP,35.0,-88.0,0.0,HOLD,0.5,"RSI is neutral (55.43), MACD histogram is positive (17.72). Uptrend confirmed by EMAs. Insufficient bullish confluence for BUY.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 22:55:00,73608.0,1500.0,1500.0,0.0,UP,21.0,-102.0,0.0,HOLD,0.5,"RSI neutral, MACD bullish histogram positive. Trend is uptrend. Insufficient bullish confluence for BUY.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:00:00,73629.0,1500.0,1500.0,0.0,DOWN,-18.0,-141.0,0.0,HOLD,0.5,"RSI is neutral, MACD histogram is positive. Uptrend confirmed by EMAs. No clear bullish signal yet. Holding for better entry.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:05:00,73611.0,1500.0,1500.0,0.0,DOWN,-3.0,-126.0,0.0,HOLD,0.4,RSI is neutral (56.54). MACD is bullish (hist 10.59). Price is in an uptrend above EMAs. No strong bullish signals for entry.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:10:00,73608.0,1500.0,1500.0,0.0,DOWN,-2.0,-125.0,0.0,HOLD,0.5,"Price is in uptrend, MACD is bullish. RSI is neutral. No strong buy signals, holding for clearer direction.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:15:00,73606.0,1500.0,1500.0,0.0,UP,5.0,-118.0,0.0,HOLD,0.5,"RSI neutral, MACD bullish, price above EMAs in uptrend. No strong buy signal yet. Waiting for more confirmation.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:20:00,73611.0,1500.0,1500.0,0.0,DOWN,-14.0,-137.0,0.0,HOLD,0.4,MACD bullish but RSI neutral. No clear bullish signal to warrant a BUY. Holding to observe further price action.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:25:00,73597.0,1500.0,1500.0,0.0,DOWN,-142.0,-265.0,0.0,HOLD,0.5,Neutral RSI (54.59) and MACD histogram (3.21) with uptrend. Not enough conviction for BUY. No gold held to SELL.,False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:30:00,73455.0,1500.0,1500.0,0.0,DOWN,-7.0,-130.0,0.0,HOLD,0.5,"RSI is neutral (52.76), MACD histogram is positive (1.1623). Uptrend confirmed by EMAs. No strong bullish signals for a BUY.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:35:00,73448.0,1500.0,1500.0,0.0,UP,3.0,-120.0,0.0,HOLD,0.5,"RSI is neutral at 38.62, MACD histogram is negative. Uptrend remains, but momentum is weak. Holding.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:40:00,73451.0,1500.0,1500.0,0.0,DOWN,-21.0,-144.0,0.0,HOLD,0.3,RSI is neutral. MACD histogram is bearish and decreasing. Price above EMA20 indicates slight uptrend. Insufficient bullish signals for a BUY. No gold held to SELL.,False,False,HOLD,0.3,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:45:00,73430.0,1500.0,1500.0,0.0,UP,5.0,-118.0,0.0,HOLD,0.4,"RSI is neutral (38.48), MACD is bearish. Trend is uptrend. Not enough bullish signals for BUY.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:50:00,73435.0,1500.0,1500.0,0.0,DOWN,-2.0,-125.0,0.0,HOLD,0.4,"RSI is neutral. MACD is bearish. Price is above EMA20, but lack of strong bullish signals means HOLD.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-01 23:55:00,73433.0,1500.0,1500.0,0.0,DOWN,-7.0,-130.0,0.0,HOLD,0.5,"RSI is neutral, MACD is bearish. Price is above EMAs indicating an uptrend. Insufficient bullish signals.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,EVEN,True
2026-04-02 00:00:00,73426.0,1500.0,1500.0,0.0,DOWN,-2.0,-125.0,0.0,HOLD,0.5,"Cash available but not enough bullish signals. RSI neutral, MACD bearish, price above EMA. Wait for clearer direction.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:05:00,73424.0,1500.0,1500.0,0.0,DOWN,-3.0,-126.0,0.0,HOLD,0.5,"RSI near neutral, MACD bearish, price above EMA20. Insufficient bullish signals for BUY. No gold to SELL.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:10:00,73421.0,1500.0,1500.0,0.0,UP,3.0,-120.0,0.0,BUY,0.65,"RSI is 36.36 (approaching oversold), price above EMA20, in uptrend. Sufficient cash available.",True,False,HOLD,0.65,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:15:00,73424.0,1500.0,1500.0,0.0,UP,2.0,-121.0,0.0,HOLD,0.4,RSI is neutral at 36.02. MACD bearish. Price below EMAs indicates downtrend. No strong bullish signals for entry.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:20:00,73426.0,1500.0,1500.0,0.0,FLAT,0.0,-123.0,0.0,HOLD,0.4,"RSI is near oversold at 36.65, but MACD is bearish and price is below EMA20. Insufficient bullish signals for a buy.",True,False,HOLD,0.4,True,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:25:00,73426.0,1500.0,1500.0,0.0,FLAT,0.0,-123.0,0.0,HOLD,0.4,"RSI is neutral, MACD is bearish, and price is below EMA20. No clear bullish setup. Holding.",True,False,HOLD,0.4,True,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:30:00,73426.0,1500.0,1500.0,0.0,UP,97.0,-26.0,0.0,HOLD,0.4,RSI is neutral (37.08) and MACD histogram is bearish (-8.20). Downtrend persists. Insufficient bullish signals for a BUY. HOLD.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:35:00,73523.0,1500.0,1500.0,0.0,DOWN,-106.0,-229.0,0.0,HOLD,0.4,"RSI is neutral (37.08), but MACD is bearish and price is below EMA20. No clear bullish setup. Holding.",False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:40:00,73417.0,1500.0,1500.0,0.0,FLAT,0.0,-123.0,0.0,HOLD,0.5,MACD histogram is bullish but price is below EMAs in a downtrend. No clear buy signal.,True,False,HOLD,0.5,True,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:45:00,73417.0,1500.0,1500.0,0.0,UP,25.0,-98.0,0.0,HOLD,0.3,"MACD histogram shows slight bullish momentum, but price is below EMA20 in a downtrend. No strong bullish signals.",False,False,HOLD,0.3,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:50:00,73442.0,1500.0,1500.0,0.0,FLAT,0.0,-123.0,0.0,HOLD,0.4,Price below EMA20 and RSI neutral. No strong bullish or bearish signals to act on. Waiting for clearer trend confirmation.,True,False,HOLD,0.4,True,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 00:55:00,73442.0,1500.0,1500.0,0.0,DOWN,-91.0,-214.0,0.0,HOLD,0.3,"RSI neutral, MACD bullish but price below EMA20 in downtrend. No strong conviction for BUY.",False,False,HOLD,0.3,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 01:00:00,73351.0,1500.0,1500.0,0.0,DOWN,-60.0,-183.0,0.0,HOLD,0.5,"MACD shows bullish momentum, but price is below EMA20. RSI is neutral. No clear buy signal yet. Holding.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 01:05:00,73291.0,1500.0,1500.0,0.0,UP,71.0,-52.0,0.0,HOLD,0.5,"RSI neutral at 35.34, MACD bearish, price below EMA20. No clear bullish setup for entry.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 01:10:00,73362.0,1500.0,1500.0,0.0,UP,122.0,-1.0,0.0,BUY,0.65,"RSI is 30.61 (bullish). Price is below EMA20, but showing potential bounce from lower BB. Cash available. Confidence: 0.65.",True,False,HOLD,0.65,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 01:15:00,73484.0,1500.0,1500.0,0.0,UP,73.0,-50.0,0.0,HOLD,0.5,"RSI neutral, MACD bearish, price below EMA20. No clear bullish setup. HOLD.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 01:20:00,73557.0,1500.0,1500.0,0.0,UP,52.0,-71.0,0.0,HOLD,0.5,"RSI is neutral, MACD shows bullish divergence, but price is below EMA20 in a downtrend. No clear setup.",False,False,HOLD,0.5,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
2026-04-02 01:25:00,73609.0,1500.0,1500.0,0.0,UP,63.0,-60.0,0.0,HOLD,0.4,MACD histogram is positive but price is below EMA20 in a downtrend. Insufficient bullish signals for a buy.,False,False,HOLD,0.4,False,False,ข้อมูลตลาดไม่ครบถ้วน: 'sell_price_thb',0.0,0.0,0.0,1,False,LATE,True
